student_id,gender,age,high_school_GPA,SAT_score,TOEFL_score,degree_program,extracurricular_participation,work_experience_years,volunteer_experience,sop_strength_score,lor_strength_score,financial_aid_requested,preferred_campus,admission_status
ST0046,Other,22,2.58,1247,84.0,Engineering,0,3,0,9,7,0,California,0
ST0047,Female,27,2.68,1046,117.0,Business,0,3,0,2,10,1,Illinois,0
ST0048,Male,32,3.16,1528,99.0,Law,0,4,0,8,2,1,California,1
ST0049,Male,19,3.98,1517,107.0,Engineering,0,0,,10,10,1,New York,1
ST0050,Male,18,3.68,1144,90.0,Engineering,0,3,0,2,2,1,Florida,0
ST0051,Female,28,2.66,1477,97.0,Law,1,0,1.0,10,3,1,California,0
ST0052,Male,24,2.53,1319,102.0,Law,1,3,0,1,8,0,New York,0
ST0053,Male,18,3.9,1480,92.0,Medicine,1,4,0,9,8,0,California,1
ST0054,Female,25,3.18,1041,102.0,Business,1,2,0,8,10,1,Texas,0
ST0055,Other,22,2.88,1209,108.0,Business,1,4,1.0,3,8,0,Illinois,1
ST0056,Other,27,3.29,1463,84.0,Engineering,0,0,0,4,3,0,Texas,0
ST0057,Female,21,3.16,1330,100.0,Business,0,4,1.0,10,7,1,Illinois,1
ST0058,Female,19,3.44,1475,89.0,Arts,0,1,1.0,1,10,0,Florida,1
ST0059,Female,28,2.66,1228,113.0,Science,0,1,1.0,7,9,1,Texas,0
ST0060,Male,33,3.5,1196,104.0,Business,1,4,1.0,8,4,0,California,1
ST0061,Male,25,3.65,1315,116.0,Law,0,1,1.0,2,7,0,New York,1
ST0062,Female,19,3.59,1380,117.0,Arts,0,4,1.0,1,3,0,Illinois,1
ST0063,Other,33,3.19,1493,94.0,Science,0,4,1.0,9,4,1,Illinois,1
ST0064,Male,32,3.35,1212,112.0,Arts,1,0,0,7,7,0,Texas,0
ST0065,Other,23,3.19,1070,117.0,Engineering,0,2,1.0,3,1,0,Illinois,0
ST0066,Male,18,3.13,1209,112.0,Medicine,1,4,0,6,2,1,New York,1
ST0067,Male,23,3.85,1309,83.0,Medicine,1,3,1.0,7,9,1,Florida,1
ST0068,Male,25,3.6,1347,117.0,Medicine,1,0,0,5,3,1,California,1
ST0069,Male,17,3.48,1265,83.0,Law,1,2,1.0,10,8,0,Texas,1
ST0070,Other,21,3.36,1150,117.0,Arts,1,3,0,7,4,1,Illinois,1
ST0071,Male,29,2.74,1289,97.0,Medicine,0,1,1.0,3,8,1,Florida,0
ST0072,Other,21,2.89,1001,96.0,Law,0,2,0,6,8,1,California,0
ST0073,Male,22,2.75,1401,87.0,Science,1,2,0,3,7,0,California,0
ST0074,Female,21,2.75,1119,118.0,Engineering,1,3,1.0,6,1,1,Illinois,0
ST0075,Male,28,3.4,1077,83.0,Medicine,0,4,1.0,4,4,1,Illinois,0
ST0076,Male,17,2.6,1467,101.0,Law,1,0,1.0,9,2,0,California,0
ST0077,Other,22,3.69,1434,106.0,Business,1,2,0,1,10,1,Florida,1
ST0078,Female,28,2.73,1474,101.0,Arts,0,1,0,9,4,0,Texas,0
ST0079,Other,31,3.7,1499,82.0,Medicine,0,4,1.0,2,5,0,Texas,1
ST0080,Male,30,2.69,1039,111.0,Law,0,1,0,5,7,1,New York,0
ST0081,Other,28,3.43,1426,92.0,Science,1,0,0,5,7,1,Florida,0
ST0082,Male,32,3.45,1391,95.0,Engineering,1,0,0,3,6,1,California,0
ST0083,Male,17,2.6,1159,87.0,Law,0,4,1.0,10,1,1,Texas,0
ST0084,Male,25,3.51,1183,107.0,Arts,1,0,1.0,1,7,0,Illinois,0
ST0085,Other,31,3.1,1158,82.0,Science,1,3,1.0,1,2,0,California,0
ST0086,Other,18,3.61,1522,84.0,Science,0,2,0,9,10,1,Illinois,1
ST0087,Female,17,3.18,1166,110.0,Business,0,4,1.0,7,3,0,Texas,1
ST0088,Male,18,2.71,1264,90.0,Science,1,0,1.0,7,9,1,Illinois,0
ST0089,Male,30,2.67,1582,109.0,Law,1,0,0,6,5,0,Illinois,0
ST0090,Female,19,2.85,1296,93.0,Arts,1,4,0,10,4,1,Texas,1
ST0091,Male,22,2.68,1188,95.0,Business,0,4,1.0,10,10,1,California,1
ST0092,Other,24,2.65,1080,93.0,Law,1,2,1.0,5,3,0,Florida,0
ST0093,Male,27,2.96,1502,100.0,Business,1,4,1.0,5,2,0,Illinois,1
ST0094,Other,18,2.51,1593,95.0,Medicine,1,0,1.0,7,8,1,California,1
ST0095,Male,30,3.65,1507,90.0,Business,1,0,1.0,2,7,0,Florida,1
ST0096,Other,28,3.61,1205,95.0,Law,0,1,1.0,9,9,0,Florida,1
ST0097,Female,31,3.31,1158,111.0,Arts,1,2,0,6,10,1,Illinois,1
ST0098,Female,30,3.89,1519,98.0,Medicine,0,2,0,4,8,0,California,1
ST0099,Other,27,2.86,1400,103.0,Business,1,4,1.0,5,2,0,New York,1
ST0100,Other,26,3.68,1163,92.0,Medicine,1,1,1.0,5,5,1,California,0
ST0101,Female,17,3.62,1106,116.0,Business,0,4,1.0,10,1,1,Florida,1
ST0102,Other,24,3.01,1312,83.0,Medicine,0,2,1.0,7,8,1,California,1
ST0103,Other,17,3.45,1055,109.0,Business,0,3,0,6,5,1,California,0
ST0104,Female,29,3.22,1391,107.0,Business,0,3,1.0,10,8,0,New York,1
ST0105,Other,33,3.13,1098,83.0,Business,1,4,0,10,3,1,New York,1
ST0106,Female,34,3.11,1524,105.0,Science,1,4,0,1,10,1,Illinois,1
ST0107,Male,31,3.48,1349,105.0,Medicine,0,2,1.0,4,7,0,Illinois,1
ST0108,Other,19,2.57,1310,85.0,Business,0,2,1.0,10,4,1,Illinois,0
ST0109,Other,31,3.45,1219,111.0,Science,0,3,0,1,5,0,California,1
ST0110,Other,22,3.47,1322,104.0,Engineering,1,3,0,3,4,1,New York,1
ST0111,Female,26,3.09,1090,106.0,Science,0,1,0,4,1,1,Texas,0
ST0112,Female,19,2.88,1022,99.0,Medicine,1,4,0,7,10,0,Florida,1
ST0113,Male,26,2.73,1346,84.0,Medicine,0,1,1.0,10,8,1,Texas,0
ST0114,Female,23,3.55,1385,115.0,Business,0,0,1.0,1,9,1,New York,0
ST0115,Other,19,2.88,1385,88.0,Medicine,1,3,0,8,3,0,New York,1
ST0116,Other,27,3.95,1070,117.0,Arts,0,3,0,8,4,0,Florida,1
ST0117,Other,30,3.69,1333,88.0,Engineering,1,0,0,8,8,1,Illinois,1
ST0118,Male,33,3.56,1178,87.0,Medicine,0,2,1.0,7,1,1,Florida,0
ST0119,Other,29,3.97,1126,113.0,Law,1,2,0,7,1,0,California,1
ST0120,Other,30,2.83,1221,86.0,Science,1,3,0,5,9,0,California,0
ST0121,Female,34,3.12,1175,112.0,Business,1,2,0,1,7,0,California,1
ST0122,Female,21,2.94,1259,119.0,Engineering,1,1,1.0,10,4,1,Florida,0
ST0123,Male,28,2.76,1178,120.0,Arts,1,2,1.0,7,10,0,Florida,1
ST0124,Male,17,3.08,1576,103.0,Business,1,2,0,9,3,1,New York,1
ST0125,Male,31,2.91,1230,92.0,Science,1,2,0,9,6,0,Texas,0
ST0126,Female,19,3.79,1269,112.0,Medicine,0,1,1.0,10,8,1,California,1
ST0127,Other,20,3.01,1165,99.0,Arts,0,3,0,10,7,1,Florida,0
ST0128,Other,27,2.77,1430,81.0,Engineering,1,0,0,8,2,1,Texas,0
ST0129,Other,31,3.27,1046,112.0,Arts,0,2,0,10,4,1,Illinois,0
ST0130,Other,30,3.29,1015,114.0,Science,1,0,0,4,3,0,Florida,0
ST0131,Other,29,2.78,1214,105.0,Business,0,2,0,4,10,0,California,0
ST0132,Male,24,3.04,1300,87.0,Medicine,1,0,1.0,9,10,1,Texas,1
ST0133,Female,24,3.14,1577,108.0,Engineering,1,3,0,2,8,1,New York,1
ST0134,Other,17,2.94,1524,98.0,Science,1,2,0,6,8,0,California,1
ST0135,Female,21,3.99,1000,99.0,Engineering,0,0,1.0,3,8,1,Florida,0
ST0136,Male,20,3.25,1161,104.0,Science,1,1,1.0,8,6,0,Illinois,0
ST0137,Other,18,3.77,1048,85.0,Business,0,1,1.0,10,10,0,California,1
ST0138,Female,21,3.59,1485,108.0,Science,0,0,1.0,3,5,0,Texas,1
ST0139,Other,26,3.36,1011,87.0,Engineering,0,3,0,6,4,0,New York,0
ST0140,Female,22,3.77,1517,96.0,Medicine,0,1,1.0,9,5,0,Illinois,1
ST0141,Male,17,2.75,1553,98.0,Business,1,1,1.0,6,2,0,New York,0
ST0142,Male,29,3.68,1379,117.0,Arts,0,2,0,10,1,0,California,1
ST0143,Female,31,3.02,1520,87.0,Arts,0,1,1.0,1,8,1,California,0
ST0144,Male,26,2.54,1113,81.0,Arts,1,2,0,2,10,1,Texas,0
ST0145,Female,18,2.8,1490,111.0,Engineering,1,3,1.0,7,5,0,Illinois,1
ST0146,Female,34,3.7,1219,107.0,Medicine,0,3,0,5,6,1,Florida,1
ST0147,Female,22,3.42,1326,80.0,Business,0,1,1.0,4,2,0,New York,0
ST0148,Female,20,3.36,1004,91.0,Arts,0,1,,9,4,1,California,0
ST0149,Male,24,2.94,1306,105.0,Medicine,0,1,1.0,7,5,0,Texas,0
ST0150,Male,22,3.81,1163,103.0,Law,1,1,0,4,2,0,Texas,1
ST0151,Other,22,3.86,1467,85.0,Arts,0,1,1.0,3,4,0,Illinois,1
ST0152,Other,26,3.19,1258,82.0,Law,0,0,0,5,4,1,Florida,0
ST0153,Other,29,2.59,1083,109.0,Medicine,1,4,0,5,8,1,Illinois,0
ST0154,Other,19,3.45,1112,104.0,Engineering,1,4,1.0,3,2,0,Texas,1
ST0155,Other,33,2.58,1524,109.0,Science,1,1,1.0,2,3,1,New York,0
ST0156,Female,23,3.72,1159,103.0,Arts,0,2,0,3,4,1,California,1
ST0157,Male,26,3.49,1379,113.0,Science,0,1,1.0,6,9,0,Illinois,1
ST0158,Male,34,3.71,1523,106.0,Arts,0,1,0,7,6,1,California,1
ST0159,Male,25,3.12,1162,93.0,Arts,0,0,1.0,1,6,1,New York,0
ST0160,Male,23,3.98,1110,95.0,Arts,1,3,1.0,10,2,0,Texas,1
ST0161,Male,25,3.59,1236,110.0,Arts,1,3,0,8,1,0,Florida,1
ST0162,Other,22,2.95,1369,,Arts,1,0,0,8,6,0,New York,0
ST0163,Female,25,3.21,1235,113.0,Engineering,1,4,1.0,1,9,0,Texas,1
ST0164,Male,31,3.31,1285,120.0,Arts,0,2,0,10,7,0,New York,1
ST0165,Female,22,3.41,1476,117.0,Engineering,0,3,1.0,3,1,0,Florida,1
ST0166,Male,28,3.08,1380,86.0,Business,0,1,0,10,1,1,Florida,0
ST0167,Other,29,2.64,1005,96.0,Medicine,1,2,0,10,3,0,California,0
ST0168,Male,21,3.84,1268,110.0,Business,1,1,1.0,7,9,1,Illinois,1
ST0169,Male,25,2.63,1034,85.0,Business,0,3,1.0,10,7,0,Texas,0
ST0170,Male,30,2.89,1103,118.0,Science,1,3,1.0,4,4,1,New York,1
ST0171,Other,24,2.83,1364,97.0,Business,1,1,,9,2,1,New York,0
ST0172,Male,33,3.74,1210,96.0,Arts,0,3,1.0,5,6,1,Texas,1
ST0173,Female,30,3.51,1195,90.0,Law,0,2,1.0,7,3,1,California,1
ST0174,Female,21,3.31,1321,106.0,Engineering,1,2,0,10,7,1,New York,1
ST0175,Female,33,3.12,1133,99.0,Medicine,1,4,1.0,9,4,0,Illinois,1
ST0176,Female,29,3.59,1037,105.0,Medicine,0,3,0,1,4,0,California,0
ST0177,Female,24,3.84,1097,117.0,Business,1,1,1.0,7,8,0,Texas,1
ST0178,Male,18,3.47,1511,114.0,Medicine,0,2,1.0,10,4,1,Texas,1
ST0179,Other,32,2.82,1260,111.0,Arts,1,0,1.0,10,7,0,California,0
ST0180,Other,18,3.44,1216,89.0,Arts,1,2,0,7,6,1,Florida,0
ST0181,Female,19,3.19,1347,115.0,Science,0,3,0,7,4,1,Illinois,1
ST0182,Other,21,2.75,1446,118.0,Business,0,4,0,5,8,1,Florida,1
ST0183,Other,34,3.29,1110,94.0,Business,1,4,1.0,5,3,0,California,1
ST0184,Other,21,2.75,1361,95.0,Medicine,0,1,0,1,2,1,Illinois,0
ST0185,Female,20,2.72,1331,108.0,Law,0,3,0,3,5,0,California,0
ST0186,Other,33,3.06,1380,85.0,Medicine,1,1,0,10,9,0,Illinois,1
ST0187,Female,34,3.16,1136,88.0,Engineering,0,3,0,10,6,0,Florida,1
ST0188,Other,27,3.1,1232,104.0,Science,1,4,0,4,9,0,Florida,1
ST0189,Other,27,3.15,1387,112.0,Business,0,1,1.0,4,8,1,Texas,1
ST0190,Male,19,3.49,1540,95.0,Arts,1,0,1.0,6,4,0,California,1
ST0191,Male,17,2.66,1163,112.0,Science,1,0,0,9,10,1,New York,0
ST0192,Female,31,3.61,1182,101.0,Medicine,1,0,1.0,2,10,1,California,1
ST0193,Female,29,3.5,1104,115.0,Medicine,0,1,0,1,2,1,Florida,0
ST0194,Female,29,3.43,1188,99.0,Arts,1,3,0,10,10,1,California,1
ST0195,Male,20,3.38,1336,88.0,Business,1,0,0,4,9,1,Florida,0
ST0196,Other,18,2.68,1201,83.0,Law,1,0,0,2,1,0,Illinois,0
ST0197,Male,19,3.94,1533,111.0,Arts,1,0,0,2,7,1,Illinois,1
ST0198,Other,21,3.81,1400,87.0,Business,0,1,0,4,3,1,California,1
ST0199,Male,17,3.62,1234,107.0,Science,0,0,1.0,2,5,1,New York,0
ST0200,Other,27,3.22,1581,110.0,Business,0,1,0,3,3,1,Illinois,1
ST0201,Female,29,3.59,1112,87.0,Arts,0,3,1.0,10,5,0,Texas,1
ST0202,Male,23,3.51,1266,105.0,Business,0,1,0,2,4,1,Illinois,0
ST0203,Other,26,3.51,1574,83.0,Science,1,2,1.0,3,3,0,Florida,1
ST0204,Other,19,3.36,1204,92.0,Arts,0,2,0,2,10,1,Texas,0
ST0205,Other,18,3.21,1345,88.0,Arts,1,0,0,8,3,1,Illinois,0
ST0206,Other,28,3.01,1351,97.0,Science,1,1,1.0,10,2,0,Illinois,1
ST0207,Male,31,3.28,1391,114.0,Law,0,0,0,9,5,1,Illinois,1
ST0208,Female,32,3.79,1077,103.0,Business,0,1,0,4,7,1,California,0
ST0209,Male,17,3.88,1346,107.0,Arts,0,3,1.0,7,9,0,Illinois,1
ST0210,Other,27,3.23,1353,83.0,Science,0,1,0,9,5,0,New York,0
ST0211,Other,19,3.69,1208,110.0,Law,0,2,1.0,1,2,1,Illinois,1
ST0212,Female,20,3.38,1318,113.0,Engineering,1,0,0,5,6,0,California,0
ST0213,Female,21,2.55,1417,81.0,Medicine,1,4,0,6,5,1,California,1
ST0214,Female,22,3.48,1114,87.0,Arts,0,2,1.0,10,1,1,Florida,0
ST0215,Male,24,2.72,1018,107.0,Arts,1,2,0,7,5,1,Illinois,0
ST0216,Male,23,2.93,1385,93.0,Business,1,1,1.0,9,4,0,California,0
ST0217,Other,26,2.8,1436,110.0,Engineering,1,2,1.0,10,2,1,Texas,1
ST0218,Female,29,2.92,1372,117.0,Law,1,4,0,1,8,1,New York,1
ST0219,Male,23,2.99,1055,101.0,Science,0,3,0,9,6,0,Florida,1
ST0220,Female,23,2.9,1182,102.0,Business,1,3,1.0,7,7,1,Texas,1
ST0221,Male,33,2.61,1071,96.0,Medicine,0,0,0,5,7,0,Florida,0
ST0222,Female,34,2.72,1359,104.0,Engineering,0,4,0,10,4,0,New York,1
ST0223,Other,17,3.16,1358,93.0,Medicine,0,2,0,1,10,0,California,0
ST0224,Male,24,2.52,1504,96.0,Business,1,0,0,9,5,0,Florida,0
ST0225,Female,23,3.18,1397,102.0,Science,0,2,1.0,1,1,0,California,0
ST0226,Other,22,3.28,1394,101.0,Business,1,3,0,3,8,1,New York,1
ST0227,Female,28,3.58,1286,89.0,Engineering,1,1,1.0,2,4,0,Texas,0
ST0228,Other,34,2.83,1107,87.0,Engineering,0,2,0,2,10,1,New York,0
ST0229,Male,34,3.8,1223,118.0,Science,1,2,1.0,4,3,0,New York,1
ST0230,Male,20,3.67,1518,95.0,Law,1,2,,3,6,1,Florida,1
ST0231,Male,31,3.64,1348,115.0,Engineering,0,2,1.0,2,8,1,Illinois,1
ST0232,Male,20,2.58,1335,102.0,Science,1,2,1.0,8,9,1,Florida,1
ST0233,Other,17,2.73,1081,91.0,Medicine,1,4,1.0,2,1,1,Florida,0
ST0234,Female,21,3.59,1276,97.0,Law,0,0,0,6,10,0,Texas,1
ST0235,Male,22,3.46,1081,85.0,Law,1,4,1.0,4,9,0,Texas,1
ST0236,Female,21,2.97,1277,117.0,Engineering,1,3,1.0,8,6,0,New York,1
ST0237,Female,27,3.92,1504,101.0,Medicine,1,0,0,5,2,0,Florida,1
ST0238,Other,30,2.98,1536,120.0,Medicine,0,3,0,5,9,0,New York,1
ST0239,Male,18,3.13,1040,85.0,Law,1,1,1.0,1,8,0,Florida,0
ST0240,Other,27,2.93,1078,109.0,Science,1,3,0,4,10,1,New York,1
ST0241,Male,30,2.88,1050,107.0,Law,0,4,1.0,9,9,1,Florida,1
ST0242,Other,22,3.37,1285,89.0,Engineering,0,1,0,10,10,0,California,1
ST0243,Other,17,3.41,1535,90.0,Business,1,2,1.0,5,3,1,Illinois,1
ST0244,Male,32,2.61,1453,109.0,Medicine,1,3,0,2,7,1,California,0
ST0245,Other,19,2.55,1412,,Science,0,1,1.0,1,10,1,Florida,0
ST0246,Female,32,3.42,1528,93.0,Arts,0,4,0,8,3,0,Florida,1
ST0247,Male,23,3.22,1533,113.0,Medicine,1,4,0,2,6,1,Florida,1
ST0248,Other,33,3.76,1050,105.0,Business,0,2,0,5,10,1,California,1
ST0249,Other,17,3.61,1460,108.0,Science,0,4,0,9,2,1,California,1
ST0250,Male,24,2.6,1037,102.0,Engineering,1,1,0,4,2,0,California,0
ST0251,Female,17,3.49,1010,85.0,Science,0,1,1.0,4,3,1,Illinois,0
ST0252,Other,26,3.38,1474,91.0,Science,0,3,0,1,1,1,California,1
ST0253,Female,27,2.98,1222,101.0,Medicine,1,1,1.0,2,7,1,New York,0
ST0254,Female,34,2.73,1292,106.0,Business,0,0,0,2,7,0,Texas,0
ST0255,Other,28,3.23,1402,109.0,Law,0,2,0,10,7,1,Texas,1
ST0256,Female,28,3.31,1073,103.0,Arts,0,2,0,1,4,0,Texas,0
ST0257,Other,22,3.49,1264,90.0,Law,1,2,1.0,10,4,0,Texas,1
ST0258,Other,21,2.53,1470,,Law,1,0,0,8,1,1,Illinois,0
ST0259,Male,20,3.67,1598,99.0,Business,1,1,1.0,4,5,1,Illinois,1
ST0260,Male,31,2.54,1305,108.0,Law,0,0,1.0,7,9,0,New York,0
ST0261,Female,27,2.73,1456,94.0,Arts,0,4,1.0,1,7,1,New York,1
ST0262,Other,26,3.08,1027,83.0,Arts,1,0,0,9,3,1,Florida,0
ST0263,Female,30,3.78,1339,103.0,Science,0,3,1.0,6,6,1,New York,1
ST0264,Male,34,3.98,1065,115.0,Business,0,4,0,9,3,1,New York,1
ST0265,Other,29,2.82,1081,97.0,Law,1,0,0,2,4,0,New York,0
ST0266,Other,30,2.84,1069,94.0,Engineering,0,4,0,2,7,0,California,0
ST0267,Other,33,3.16,1393,98.0,Science,1,2,0,2,2,0,New York,1
ST0268,Male,27,2.85,1079,116.0,Law,0,4,1.0,3,8,0,Florida,1
ST0269,Other,27,3.84,1055,118.0,Arts,0,4,1.0,1,7,1,Florida,1
ST0270,Female,20,3.87,1287,88.0,Business,0,1,1.0,2,2,1,New York,1
ST0271,Male,21,3.78,1341,93.0,Law,0,0,0,8,4,1,Illinois,1
ST0272,Female,22,3.17,1265,97.0,Engineering,0,2,0,3,6,0,New York,0
ST0273,Other,29,3.59,1315,112.0,Science,1,3,1.0,8,1,1,Florida,1
ST0274,Male,21,2.68,1283,110.0,Medicine,1,2,0,10,6,0,New York,1
ST0275,Female,34,2.67,1493,112.0,Medicine,1,4,0,6,6,1,Illinois,1
ST0276,Male,34,2.56,1199,113.0,Law,1,4,1.0,3,8,1,New York,1
ST0277,Female,25,3.43,1118,104.0,Arts,0,0,0,4,5,1,New York,0
ST0278,Other,22,3.04,1410,116.0,Engineering,1,4,0,1,9,0,California,1
ST0279,Other,29,3.85,1372,87.0,Law,0,1,1.0,6,2,1,Florida,1
ST0280,Other,23,3.23,1146,87.0,Arts,0,2,0,4,6,0,New York,0
ST0281,Other,22,3.65,1474,84.0,Arts,0,0,0,6,5,1,Texas,1
ST0282,Other,18,3.14,1140,98.0,Business,0,0,0,8,2,0,Texas,0
ST0283,Female,24,2.62,1219,102.0,Engineering,0,2,1.0,9,10,0,Florida,0
ST0284,Other,18,2.82,1422,,Business,1,3,0,5,7,0,Florida,0
ST0285,Other,23,3.42,1066,117.0,Business,0,4,0,2,7,1,Illinois,1
ST0286,Female,23,3.27,1599,90.0,Law,1,1,0,9,8,1,California,1
ST0287,Male,19,2.73,1179,119.0,Engineering,1,3,0,4,4,1,New York,0
ST0288,Female,19,3.11,1321,102.0,Medicine,1,0,0,7,2,0,New York,0
ST0289,Female,32,3.65,1410,114.0,Business,0,1,0,8,8,0,Texas,1
ST0290,Other,20,2.62,1404,95.0,Medicine,0,3,0,9,3,1,New York,0
ST0291,Female,24,3.7,1241,,Law,1,1,1.0,3,6,0,Florida,1
ST0292,Other,32,3.66,1301,91.0,Engineering,0,0,0,4,3,0,Texas,0
ST0293,Other,29,2.73,1345,96.0,Medicine,1,2,0,3,7,0,Texas,1
ST0294,Male,19,3.91,1053,104.0,Business,0,1,1.0,3,10,0,California,1
ST0295,Other,18,3.34,1257,115.0,Medicine,1,0,0,1,9,1,Illinois,0
ST0296,Female,29,3.89,1194,,Law,0,2,1.0,5,1,1,Texas,1
ST0297,Male,22,3.34,1008,101.0,Engineering,1,1,1.0,8,8,1,Florida,1
ST0298,Female,33,3.85,1495,90.0,Arts,1,1,1.0,8,2,0,Florida,1
ST0299,Other,30,3.13,1343,111.0,Law,0,3,1.0,1,6,1,New York,1
ST0300,Male,31,2.95,1399,118.0,Science,0,0,1.0,7,8,1,Texas,1
ST0301,Other,24,2.92,1386,84.0,Medicine,1,1,1.0,8,10,0,New York,1
ST0302,Female,26,3.18,1498,114.0,Law,1,3,1.0,3,9,0,Florida,1
ST0303,Other,18,3.77,1136,91.0,Medicine,1,0,0,8,2,0,New York,0
ST0304,Female,30,3.87,1340,85.0,Arts,0,0,1.0,7,1,1,Florida,1
ST0305,Other,30,3.11,1539,120.0,Arts,0,0,1.0,8,2,0,Florida,1
ST0306,Other,29,3.23,1175,118.0,Medicine,1,4,0,2,5,1,Texas,1
ST0307,Female,23,3.41,1498,96.0,Business,0,3,0,1,3,0,Florida,1
ST0308,Female,31,3.72,1505,95.0,Law,1,2,1.0,9,10,1,Florida,1
ST0309,Male,20,3.33,1281,104.0,Engineering,1,1,1.0,7,7,1,Florida,1
ST0310,Female,17,2.64,1169,88.0,Business,1,4,1.0,4,9,0,Illinois,0
ST0311,Male,24,3.95,1148,99.0,Science,1,1,1.0,2,2,1,New York,1
ST0312,Female,28,3.04,1589,93.0,Science,1,4,0,6,6,0,Florida,1
ST0313,Other,23,3.64,1543,109.0,Science,0,4,0,1,10,1,Florida,1
ST0314,Male,22,3.44,1406,120.0,Arts,1,0,1.0,2,10,0,Florida,1
ST0315,Male,34,3.65,1288,81.0,Science,0,4,0,7,10,0,Texas,1
ST0316,Female,29,3.87,1373,99.0,Science,0,0,0,8,10,0,Texas,1
ST0317,Other,19,2.96,1475,102.0,Business,1,3,1.0,9,5,1,Florida,1
ST0318,Other,30,3.95,1342,98.0,Engineering,0,4,0,7,2,0,Florida,1
ST0319,Male,17,2.54,1204,110.0,Science,1,2,1.0,6,2,1,California,0
