Product_ID,Date,Base_Price,Base_Price,Discount_Offered,Units_Sold,Revenue,Marketing_Spend,Customer_Rating,Inventory_Available,Clicked_Ad,Customer_Segment,Event,Season
P1860,12-04-2024,440,441,23,230,,5100,4.8,280,No,Loyal,Holiday,Spring
P1893,25-05-2024,280,281,12,150,,3200,4.2,220,Yes,Deal-seeker,None,Summer
P1925,07-06-2024,170,171,8,120,,2200,3.9,160,No,Price-sensitive,Flash Sale,Summer
P1958,19-07-2024,390,391,21,215,,4800,4.7,290,Yes,Loyal,Festival,Monsoon
P1990,01-09-2024,240,241,14,140,,2800,4.1,210,No,Deal-seeker,None,Monsoon
P2023,14-09-2024,400,401,17,200,,4400,4.5,260,Yes,Price-sensitive,Holiday,Autumn
P2055,27-10-2024,150,151,5,95,,1800,3.8,140,No,Loyal,None,Autumn
P2088,10-11-2024,310,311,19,180,,4000,4.3,230,Yes,Deal-seeker,Flash Sale,Autumn
P2120,21-12-2024,190,191,13,130,,2500,4.4,190,No,Price-sensitive,Festival,Winter
P2153,05-01-2024,220,221,10,125,,2600,3.6,170,Yes,Loyal,None,Winter
P2185,19-02-2024,350,351,16,165,,4300,4.6,250,No,Deal-seeker,Holiday,Winter
P2218,31-03-2024,140,141,7,85,,1900,3.4,120,Yes,Price-sensitive,None,Spring
P2250,13-04-2024,420,421,22,225,,5200,4.9,280,No,Loyal,Festival,Spring
P2283,26-05-2024,300,301,15,155,,3500,4.3,240,Yes,Deal-seeker,None,Summer
P2315,08-06-2024,160,161,9,115,,2300,3.7,180,No,Price-sensitive,Flash Sale,Summer
P2348,20-07-2024,370,371,20,210,,4600,4.7,270,Yes,Loyal,Holiday,Monsoon
P2380,02-09-2024,260,261,13,145,,3000,4.2,220,No,Deal-seeker,None,Monsoon
P2413,15-09-2024,430,431,18,205,,4900,4.5,260,Yes,Price-sensitive,Festival,Autumn
P2445,28-10-2024,120,121,6,75,,1500,3.9,130,No,Loyal,None,Autumn
P2478,11-11-2024,340,341,21,190,,4200,4.4,250,Yes,Deal-seeker,Flash Sale,Autumn
P2510,22-12-2024,200,201,14,135,,2800,4.3,200,No,Price-sensitive,Holiday,Winter
P2543,06-01-2024,180,181,11,120,,2400,3.8,160,Yes,Loyal,None,Winter
P2575,20-02-2024,380,381,17,175,,4500,4.6,260,No,Deal-seeker,Festival,Winter
P2608,01-04-2024,130,131,5,80,,1800,3.5,110,Yes,Price-sensitive,None,Spring
P2640,14-04-2024,450,451,24,235,,5300,4.9,290,No,Loyal,Holiday,Spring
P2673,27-05-2024,270,271,12,145,,3200,4.2,220,Yes,Deal-seeker,None,Summer
P2705,09-06-2024,150,151,8,110,,2200,3.9,170,No,Price-sensitive,Flash Sale,Summer
P2738,21-07-2024,400,401,19,220,,5000,4.7,280,Yes,Loyal,Festival,Monsoon
P2770,03-09-2024,230,231,15,135,,2800,4.1,210,No,Deal-seeker,None,Monsoon
P2803,16-09-2024,410,411,16,195,,4400,4.5,260,Yes,Price-sensitive,Holiday,Autumn
P2835,29-10-2024,140,141,7,90,,2000,3.8,140,No,Loyal,None,Autumn
P2868,12-11-2024,320,321,20,185,,4200,4.4,240,Yes,Deal-seeker,Flash Sale,Autumn
P2900,23-12-2024,170,171,13,130,,2600,4.3,200,No,Price-sensitive,Festival,Winter
P2933,07-01-2024,210,211,14,125,,2600,3.7,180,Yes,Loyal,None,Winter
P2965,21-02-2024,360,361,18,170,,4300,4.6,260,No,Deal-seeker,Holiday,Winter
P2998,02-04-2024,120,121,6,75,,1600,3.4,120,Yes,Price-sensitive,None,Spring
P3030,15-04-2024,440,441,22,230,,5100,4.9,280,No,Loyal,Festival,Spring
P3063,28-05-2024,290,291,15,155,,3500,4.3,240,Yes,Deal-seeker,None,Summer
P3095,10-06-2024,180,181,10,125,,2500,3.8,170,No,Price-sensitive,Flash Sale,Summer
P3128,22-07-2024,380,381,21,215,,4800,4.7,290,Yes,Loyal,Holiday,Monsoon
P3160,04-09-2024,250,251,13,140,,2800,4.2,210,No,Deal-seeker,None,Monsoon
P3193,17-09-2024,420,421,17,200,,4600,4.5,260,Yes,Price-sensitive,Festival,Autumn
P3225,30-10-2024,130,131,5,85,,1700,3.9,130,No,Loyal,None,Autumn
P3258,13-11-2024,310,311,19,180,,4000,4.4,240,Yes,Deal-seeker,Flash Sale,Autumn
P3290,24-12-2024,190,191,12,135,,2700,4.3,200,No,Price-sensitive,Holiday,Winter
P3323,08-01-2024,240,241,16,160,,3500,3.6,180,Yes,Loyal,None,Winter
P3355,22-02-2024,340,341,20,185,,4200,4.6,260,No,Deal-seeker,Festival,Winter
P3388,03-04-2024,150,151,7,110,,2300,3.5,160,Yes,Price-sensitive,None,Spring
P3420,16-04-2024,430,431,23,225,,5200,4.9,280,No,Loyal,Holiday,Spring
P3453,29-05-2024,280,281,14,150,,3200,4.2,220,Yes,Deal-seeker,None,Summer
P3485,11-06-2024,160,161,9,120,,2400,3.9,170,No,Price-sensitive,Flash Sale,Summer
P3518,23-07-2024,390,391,18,210,,4700,4.7,270,Yes,Loyal,Festival,Monsoon
P3550,05-09-2024,220,221,13,145,,3000,4.1,210,No,Deal-seeker,None,Monsoon
P3583,18-09-2024,400,401,15,195,,4400,4.5,260,Yes,Price-sensitive,Holiday,Autumn
P3615,31-10-2024,140,141,6,95,,2000,3.8,140,No,Loyal,None,Autumn
P3648,14-11-2024,320,321,21,185,,4200,4.4,240,Yes,Deal-seeker,Flash Sale,Autumn
P3680,25-12-2024,170,171,11,130,,2600,4.3,200,No,Price-sensitive,Festival,Winter
P3713,09-01-2024,200,201,14,125,,2600,3.7,180,Yes,Loyal,None,Winter
P3745,23-02-2024,360,361,17,175,,4500,4.6,260,No,Deal-seeker,Holiday,Winter
P3778,04-04-2024,130,131,5,80,,1800,3.4,110,Yes,Price-sensitive,None,Spring
P3810,17-04-2024,450,451,24,235,,5300,4.9,290,No,Loyal,Festival,Spring
P3843,30-05-2024,300,301,15,155,,3500,4.3,240,Yes,Deal-seeker,None,Summer
P3875,12-06-2024,170,171,10,120,,2400,3.8,170,No,Price-sensitive,Flash Sale,Summer
P3908,24-07-2024,370,371,19,205,,4600,4.7,270,Yes,Loyal,Holiday,Monsoon
P3940,06-09-2024,260,261,12,140,,2800,4.2,210,No,Deal-seeker,None,Monsoon
P3973,19-09-2024,410,411,16,190,,4300,4.5,260,Yes,Price-sensitive,Festival,Autumn
P4005,01-11-2024,120,121,7,75,,1500,3.9,130,No,Loyal,None,Autumn
P4038,15-11-2024,340,341,20,185,,4200,4.4,240,Yes,Deal-seeker,Flash Sale,Autumn
P4070,26-12-2024,180,181,13,135,,2700,4.3,200,No,Price-sensitive,Holiday,Winter
