customer_id,gender,age,region,customer_tenure_months,subscription_type,monthly_charges,num_support_tickets,service_calls_last_6_months,contract_type,payment_method,auto_renewal_enabled,multiple_services,active_last_month,login_frequency_per_week,usage_minutes_per_month,plan_changes_in_last_year,total_charges,churn
C0043,Male,61,West,54,Standard,48.46,7,6,Month-to-Month,Bank Transfer,0,1,0,7.0,4864.15,4,2596.61,0
C0044,Male,48,West,29,Premium,91.58,8,12,Month-to-Month,Bank Transfer,1,1,1,17.0,4608.04,4,2608.26,1
C0045,Female,64,Central,40,Basic,64.16,2,9,2-Year,Credit Card,1,1,0,4.0,3281.18,4,2569.1,0
C0046,Other,70,South,23,Basic,56.61,4,10,1-Year,Bank Transfer,0,0,1,12.0,1523.37,1,1335.41,0
C0047,Male,50,South,23,Premium,92.98,7,5,2-Year,Debit Card,0,0,1,4.0,4584.2,4,2142.5,0
C0048,Female,27,East,5,Basic,21.04,5,10,1-Year,Debit Card,0,0,1,15.0,1746.57,4,110.14,0
C0049,Female,56,Central,48,Enterprise,82.61,1,6,2-Year,PayPal,1,1,0,4.0,3635.26,3,3922.26,0
C0050,Female,47,North,24,Standard,118.53,8,9,2-Year,Debit Card,1,1,0,5.0,530.16,1,2818.9,1
C0051,Other,28,Central,6,Basic,52.19,3,3,1-Year,PayPal,1,1,1,0,4568.81,1,316.88,0
C0052,Male,47,West,46,Standard,57.87,0,13,2-Year,Bank Transfer,0,0,1,3.0,373.69,2,2703.69,0
C0053,Female,69,South,8,Basic,114.63,4,13,1-Year,Bank Transfer,0,0,0,15.0,4018.39,2,947.81,1
C0054,Female,60,North,20,Basic,24.24,2,14,Month-to-Month,Credit Card,0,1,1,15.0,1382.66,0,493.37,0
C0055,Female,44,North,29,Basic,20.43,4,5,1-Year,Credit Card,1,1,1,19.0,2614.66,0,599.94,0
C0056,Other,45,Central,32,Premium,88.58,1,11,1-Year,Debit Card,1,1,1,11.0,4791.68,4,2856.86,0
C0057,Male,39,North,45,Premium,91.8,4,13,Month-to-Month,Bank Transfer,0,1,1,18.0,540.76,2,4137.83,1
C0058,Male,22,East,52,Enterprise,50.44,5,5,1-Year,Credit Card,0,1,1,12.0,3174.92,1,2671.46,0
C0059,Other,20,North,11,Enterprise,68.15,9,4,2-Year,Debit Card,1,0,0,23.0,4286.14,4,720.66,1
C0060,Male,19,West,10,Basic,92.69,2,9,1-Year,Bank Transfer,1,0,0,9.0,4216.28,2,951.1,1
C0061,Female,59,South,61,Premium,43.89,7,1,Month-to-Month,PayPal,1,1,1,16.0,2355.8,2,2676.04,0
C0062,Female,24,South,18,Standard,88.51,6,1,2-Year,Credit Card,0,0,1,15.0,3946.86,1,1584.36,0
C0063,Male,51,Central,33,Basic,48.17,4,3,Month-to-Month,Debit Card,0,1,0,7.0,1605.86,3,1550.95,1
C0064,Female,60,East,66,Enterprise,22.62,8,6,Month-to-Month,Bank Transfer,1,0,1,24.0,878.04,1,1533.02,0
C0065,Other,54,North,40,Premium,51.25,7,3,Month-to-Month,Credit Card,0,0,0,18.0,3236.64,1,2041.49,1
C0066,Other,41,North,46,Enterprise,39.19,0,4,Month-to-Month,Bank Transfer,0,0,1,9.0,4503.83,4,1787.22,0
C0067,Male,59,North,6,Basic,76.64,0,13,Month-to-Month,Credit Card,0,1,1,22.0,3530.88,0,411.15,0
C0068,Female,43,East,27,Premium,42.49,9,11,Month-to-Month,Debit Card,1,1,1,3.0,2355.75,1,1158.68,1
C0069,Male,64,North,24,Standard,116.03,6,12,1-Year,PayPal,1,0,0,5.0,1511.41,4,2764.23,1
C0070,Female,50,South,1,Premium,85.04,4,12,1-Year,Bank Transfer,0,1,0,17.0,2386.62,4,128.38,1
C0071,Other,29,North,18,Standard,118.48,5,8,1-Year,PayPal,0,0,1,20.0,2325.45,3,2147.52,0
C0072,Female,55,Central,47,Standard,116.42,3,0,1-Year,Debit Card,1,1,1,15.0,999.42,3,5422.1,0
C0073,Female,27,East,27,Premium,47.16,5,12,Month-to-Month,Credit Card,0,1,0,9.0,1954.59,0,1235.67,1
C0074,Other,31,North,17,Standard,107.95,4,1,2-Year,PayPal,1,0,1,24.0,2985.07,2,1857.18,0
C0075,Other,51,North,60,Basic,89.41,6,6,2-Year,Debit Card,1,0,1,21.0,2038.15,1,5376.84,0
C0076,Other,26,Central,34,Premium,118.31,4,1,2-Year,PayPal,0,1,0,20.0,385.79,4,4039.65,0
C0077,Female,38,West,21,Premium,97.78,1,12,1-Year,Bank Transfer,0,1,1,8.0,148.68,4,2068.14,1
C0078,Male,50,East,62,Standard,119.43,8,1,1-Year,Bank Transfer,0,0,0,4.0,706.33,0,7396.81,0
C0079,Female,20,North,47,Premium,93.87,8,12,Month-to-Month,PayPal,0,1,1,24.0,3482.83,3,4454.65,1
C0080,Male,55,West,44,Standard,30.29,2,14,2-Year,Bank Transfer,1,0,1,17.0,1801.01,0,1287.34,0
C0081,Male,55,East,36,Standard,64.24,6,5,1-Year,Credit Card,1,1,1,19.0,1989.15,1,2341.93,0
C0082,Other,66,Central,16,Premium,21.93,8,11,2-Year,Debit Card,1,0,0,21.0,1192.43,0,339.52,0
C0083,Female,47,North,38,Basic,48.05,0,13,2-Year,Credit Card,1,0,0,9.0,3073.12,0,1838.88,0
C0084,Male,65,North,27,Standard,107.14,7,14,Month-to-Month,Debit Card,0,1,0,20.0,4584.24,1,2927.81,1
C0085,Male,41,West,37,Standard,119.6,0,6,Month-to-Month,Bank Transfer,0,1,0,14.0,599.47,0,4394.77,1
C0086,Other,50,Central,68,Basic,32.68,9,5,2-Year,Debit Card,1,1,0,7.0,4840.65,2,2182.56,0
C0087,Other,59,West,3,Basic,99.58,9,11,1-Year,Credit Card,0,1,1,3.0,630.35,2,252.65,1
C0088,Female,71,Central,72,Enterprise,31.23,6,5,Month-to-Month,PayPal,1,0,1,12.0,849.61,2,2232.92,0
C0089,Female,18,East,70,Enterprise,95.18,1,2,2-Year,Debit Card,1,1,0,4.0,4898.84,3,6683.03,0
C0090,Other,61,North,68,Basic,65.56,6,12,1-Year,PayPal,1,1,1,7.0,451.27,0,4464.86,0
C0091,Female,41,South,51,Premium,77.15,0,2,Month-to-Month,Credit Card,0,1,1,22.0,3986.37,1,3963.74,0
C0092,Male,79,East,58,Enterprise,109.72,8,7,2-Year,Debit Card,1,1,0,17.0,2603.97,2,6316.25,1
C0093,Male,75,West,51,Basic,113.34,8,2,2-Year,Debit Card,1,0,1,8.0,3270.94,0,5822.21,0
C0094,Other,19,East,23,Standard,32.57,8,13,Month-to-Month,Debit Card,1,0,1,10.0,1659.81,2,714.94,1
C0095,Male,75,North,69,Enterprise,103.55,7,8,1-Year,Credit Card,1,1,0,23.0,1226.16,1,7169.45,0
C0096,Other,59,South,38,Standard,105.71,4,12,2-Year,PayPal,1,0,1,12.0,1819.06,2,4031.42,0
C0097,Other,55,Central,39,Enterprise,40.97,0,7,Month-to-Month,Credit Card,0,0,1,,3054.98,0,1605.35,0
C0098,Male,30,West,15,Standard,43.49,3,3,1-Year,Bank Transfer,1,0,1,2.0,1531.88,3,700.64,0
C0099,Female,24,West,31,Standard,97.35,3,13,1-Year,Debit Card,0,1,1,4.0,3298.35,2,3007.56,0
C0100,Male,25,North,26,Standard,75.29,1,4,2-Year,Debit Card,1,0,1,,4319.61,0,1968.37,0
C0101,Male,69,Central,59,Enterprise,103.6,3,13,1-Year,PayPal,0,0,1,1.0,832.03,1,6143.9,0
C0102,Other,31,North,41,Standard,59.31,1,1,1-Year,PayPal,1,1,0,21.0,200.61,3,2391.36,0
C0103,Male,46,North,30,Basic,36.85,0,12,1-Year,Debit Card,1,1,1,14.0,2599.82,2,1119.11,0
C0104,Female,47,West,43,Premium,113.9,7,3,Month-to-Month,Credit Card,0,0,0,18.0,79.37,1,4847.8,1
C0105,Other,37,West,70,Basic,110.94,7,0,2-Year,Bank Transfer,0,1,0,21.0,348.65,1,7762.28,0
C0106,Female,53,East,59,Basic,87.54,3,11,2-Year,Credit Card,1,0,1,6.0,437.11,3,5203.06,0
C0107,Female,78,East,42,Premium,75.29,4,8,1-Year,Bank Transfer,0,0,1,7.0,2905.91,2,3195.75,0
C0108,Female,18,West,53,Premium,66.05,0,6,1-Year,Debit Card,0,1,0,10.0,4562.83,3,3510.35,0
C0109,Female,75,West,49,Basic,98.63,0,14,Month-to-Month,PayPal,0,1,1,6.0,3275.4,0,4822.03,0
C0110,Male,29,East,8,Premium,47.69,4,7,Month-to-Month,Bank Transfer,1,1,0,11.0,4237.72,0,426.21,1
C0111,Male,51,East,52,Enterprise,42.36,9,14,Month-to-Month,Credit Card,1,1,1,14.0,2214.5,4,2173.92,0
C0112,Other,52,Central,70,Standard,98.57,6,8,Month-to-Month,Credit Card,1,0,0,13.0,2692.1,4,6853.48,0
C0113,Other,29,South,14,Premium,90.99,2,14,2-Year,PayPal,1,1,0,14.0,3887.09,4,1245.88,1
C0114,Female,24,East,40,Premium,59.16,1,11,Month-to-Month,Credit Card,1,0,1,13.0,1538.82,1,2365.61,0
C0115,Other,64,Central,55,Premium,97.2,7,11,2-Year,Debit Card,1,1,1,6.0,3935.21,4,5301.76,0
C0116,Male,34,Central,42,Enterprise,115.57,3,5,1-Year,Bank Transfer,0,1,0,14.0,4025.93,3,4814.72,0
C0117,Male,67,Central,63,Standard,25.99,1,13,Month-to-Month,Bank Transfer,1,1,0,6.0,3016.85,4,1589.55,0
C0118,Male,41,North,68,Premium,30.01,6,12,1-Year,Bank Transfer,1,1,1,5.0,2680.9,2,2088.85,0
C0119,Male,23,North,50,Premium,87.74,4,14,Month-to-Month,Credit Card,0,0,0,9.0,3174.9,1,4418.33,1
C0120,Male,74,West,34,Basic,26.44,1,14,Month-to-Month,Credit Card,1,0,0,8.0,1467.2,1,902.05,0
C0121,Female,72,Central,56,Enterprise,82.66,8,9,Month-to-Month,Credit Card,1,0,0,5.0,2063.42,1,4623.73,1
C0122,Other,78,South,36,Premium,92.01,3,12,Month-to-Month,Bank Transfer,0,0,0,12.0,2774.23,4,3333.23,1
C0123,Male,75,West,39,Standard,55.47,5,2,2-Year,Credit Card,1,1,1,20.0,2453.57,0,2116.15,0
C0124,Female,19,South,2,Enterprise,96.67,7,5,1-Year,Debit Card,1,0,1,16.0,949.87,3,193.78,1
C0125,Female,57,North,23,Standard,28.95,9,3,Month-to-Month,Debit Card,0,0,1,23.0,3841.87,4,659.03,0
C0126,Male,54,South,30,Basic,23.78,3,2,1-Year,Debit Card,0,0,0,1.0,3053.22,2,718.1,0
C0127,Female,57,North,26,Basic,91.09,7,3,Month-to-Month,PayPal,1,0,0,,1124.01,4,2370.23,1
C0128,Female,24,South,25,Enterprise,91.71,7,12,1-Year,PayPal,1,1,0,24.0,4377.34,4,2285.37,1
C0129,Female,64,South,49,Premium,28.88,0,5,2-Year,Debit Card,1,0,1,11.0,843.25,4,1369.17,0
C0130,Male,50,Central,70,Basic,24.43,0,7,Month-to-Month,Bank Transfer,1,0,1,1.0,917.16,3,1746.12,0
C0131,Other,54,North,15,Standard,45.83,6,6,2-Year,PayPal,1,1,0,13.0,337.28,0,673.55,0
C0132,Other,76,Central,36,Standard,113.91,7,9,1-Year,Credit Card,1,1,1,19.0,1745.48,2,4060.04,0
C0133,Female,27,West,35,Enterprise,56.83,7,7,2-Year,PayPal,0,0,0,2.0,3778.9,2,2017.48,0
C0134,Female,25,West,71,Standard,40.46,7,9,2-Year,Credit Card,1,1,1,24.0,2237.74,3,2872.41,0
C0135,Male,25,Central,57,Basic,38.53,2,14,1-Year,Debit Card,0,0,1,16.0,238.05,1,2212.16,0
C0136,Male,22,North,25,Enterprise,66.34,0,0,1-Year,Debit Card,0,1,1,21.0,635.03,3,1652.46,0
C0137,Other,54,Central,45,Standard,107.2,7,5,2-Year,Credit Card,1,1,1,23.0,4195.37,2,4786.31,0
C0138,Other,66,Central,54,Basic,112.87,2,14,Month-to-Month,Credit Card,0,0,0,24.0,2783.73,4,6074.57,1
C0139,Other,25,West,11,Basic,112.17,9,11,1-Year,Debit Card,1,1,1,19.0,4748.99,0,1238.85,1
C0140,Male,62,West,58,Basic,85.43,4,9,Month-to-Month,PayPal,0,1,1,18.0,3033.9,4,4930.7,0
C0141,Other,60,Central,72,Basic,108.51,9,1,Month-to-Month,Debit Card,0,1,0,21.0,428.56,0,7811.09,1
C0142,Other,72,East,4,Enterprise,112.76,9,5,2-Year,Bank Transfer,0,0,0,19.0,4057.55,2,440.23,1
C0143,Female,60,South,15,Standard,112.7,2,14,2-Year,Bank Transfer,1,0,1,3.0,258.22,3,1688.9,0
C0144,Female,21,North,18,Standard,43.56,8,10,Month-to-Month,Bank Transfer,1,1,0,14.0,1397.82,0,752.97,1
C0145,Male,46,North,53,Basic,45.03,8,12,Month-to-Month,Bank Transfer,1,1,0,18.0,2219.08,3,2396.37,1
C0146,Male,30,East,62,Premium,31.35,2,1,Month-to-Month,Credit Card,1,0,1,14.0,2382.86,3,1912.17,0
C0147,Male,38,North,62,Basic,36.63,2,14,1-Year,Credit Card,0,0,0,18.0,3136.29,2,2315.47,0
C0148,Other,59,North,59,Standard,27.53,1,1,1-Year,Bank Transfer,1,0,1,,3568.63,3,1662.2,0
C0149,Female,62,East,53,Basic,103.76,9,9,Month-to-Month,Debit Card,0,1,1,4.0,4966.12,2,5548.61,1
C0150,Female,69,North,43,Premium,71.3,9,12,Month-to-Month,PayPal,0,1,1,20.0,2958.26,1,3078.97,1
C0151,Female,47,Central,9,Enterprise,88.92,2,3,1-Year,PayPal,0,0,1,6.0,2656.46,0,773.83,0
C0152,Other,60,West,22,Premium,63.82,2,11,Month-to-Month,Bank Transfer,1,1,0,14.0,1753.27,4,1413.76,1
C0153,Female,49,East,58,Enterprise,81.59,6,9,2-Year,Bank Transfer,0,0,1,21.0,1356.75,1,4728.64,0
C0154,Other,51,South,65,Enterprise,82.58,9,14,1-Year,Credit Card,0,1,0,2.0,3384.88,4,5350.16,0
C0155,Male,36,South,15,Premium,66.07,1,13,1-Year,Debit Card,0,0,0,11.0,647.87,4,943.8,1
C0156,Other,19,West,54,Premium,80.44,1,12,2-Year,Debit Card,1,0,0,2.0,287.26,1,4379.99,0
C0157,Female,32,West,50,Standard,108.5,9,10,1-Year,Bank Transfer,1,1,1,4.0,2930.57,2,5429.23,0
C0158,Female,27,North,51,Standard,115.39,5,5,Month-to-Month,PayPal,1,1,1,22.0,4123.24,0,5840.88,1
C0159,Female,21,Central,35,Standard,65.01,3,2,1-Year,Credit Card,1,1,1,11.0,4884.95,4,2244.47,0
C0160,Male,77,Central,9,Enterprise,54.12,3,1,1-Year,PayPal,0,1,1,23.0,1594.7,0,502.8,0
C0161,Female,34,East,69,Standard,57.72,9,4,Month-to-Month,Bank Transfer,1,1,1,11.0,3657.04,4,3987.72,0
C0162,Male,76,East,6,Standard,47.18,0,6,2-Year,PayPal,1,1,0,2.0,2166.47,2,303.49,0
C0163,Other,68,South,14,Enterprise,50.42,6,9,Month-to-Month,PayPal,0,0,0,11.0,2687.99,0,716.47,1
C0164,Other,57,East,58,Enterprise,92.47,5,5,Month-to-Month,Bank Transfer,1,1,0,0,1224.55,3,5353.64,1
C0165,Other,52,Central,70,Basic,22.98,1,14,Month-to-Month,Credit Card,1,1,1,17.0,,0,1643.81,0
C0166,Other,48,South,64,Standard,23.48,5,5,Month-to-Month,Credit Card,0,1,1,2.0,1085.38,3,1518.88,0
C0167,Male,34,East,66,Enterprise,83.15,6,7,Month-to-Month,Debit Card,1,0,1,13.0,1708.08,4,5446.43,0
C0168,Male,34,North,34,Standard,27.54,7,7,2-Year,Debit Card,1,1,0,11.0,2683.33,0,916.13,0
C0169,Other,21,North,21,Standard,119.26,8,8,Month-to-Month,PayPal,0,1,1,13.0,4942.87,0,2530.62,1
C0170,Female,62,East,53,Basic,97.17,8,14,2-Year,PayPal,1,0,0,7.0,1642.04,2,5191.4,0
C0171,Other,75,Central,40,Basic,82.73,7,8,1-Year,Credit Card,1,0,0,2.0,1794.54,2,3336.55,1
C0172,Female,39,West,13,Basic,34.03,3,13,1-Year,Bank Transfer,1,0,0,24.0,941.5,0,459.68,0
C0173,Female,26,North,72,Basic,31.3,3,7,2-Year,Debit Card,1,0,1,21.0,500.43,2,2270.75,0
C0174,Other,58,Central,5,Enterprise,74.22,4,1,1-Year,Debit Card,1,0,0,1.0,1526.81,2,375.9,0
C0175,Male,41,North,3,Enterprise,40.17,6,4,1-Year,Debit Card,0,1,0,2.0,3782.89,1,122.28,0
C0176,Other,25,West,71,Enterprise,102.88,1,1,2-Year,Debit Card,1,0,1,23.0,2157.65,1,7264.39,0
C0177,Other,35,South,21,Enterprise,31.47,5,4,2-Year,Debit Card,0,1,1,6.0,1859.25,3,684.18,0
C0178,Other,42,East,63,Basic,109.5,0,8,Month-to-Month,Debit Card,0,0,1,15.0,766.31,4,6939.38,0
C0179,Other,74,South,39,Basic,78.66,4,3,2-Year,Credit Card,1,0,1,7.0,1184.18,1,3079.18,0
C0180,Male,75,North,48,Enterprise,25.23,5,12,1-Year,Debit Card,1,0,0,17.0,451.54,1,1235.16,0
C0181,Female,59,West,53,Premium,70.17,3,8,1-Year,Bank Transfer,0,1,1,19.0,684.92,4,3696.3,0
C0182,Other,29,East,59,Enterprise,79.05,2,8,1-Year,Debit Card,1,1,0,22.0,1234.74,0,4681.01,0
C0183,Other,69,East,64,Basic,71.64,4,7,1-Year,Debit Card,1,0,0,22.0,3118.81,4,4623.59,0
C0184,Female,69,South,14,Enterprise,31.04,2,11,2-Year,Bank Transfer,0,1,1,6.0,2490.42,2,412.93,0
C0185,Other,29,East,14,Basic,74.29,3,5,Month-to-Month,PayPal,0,0,0,6.0,4496.63,3,1057.81,1
C0186,Male,28,Central,58,Basic,42.85,0,6,Month-to-Month,Debit Card,1,0,0,7.0,3102.58,3,2467.43,0
C0187,Male,67,Central,44,Basic,58.06,5,7,1-Year,Debit Card,0,0,0,19.0,4263.28,2,2599.28,0
C0188,Male,57,East,54,Premium,21.74,9,2,2-Year,Debit Card,0,0,1,2.0,,0,1220.35,0
C0189,Other,33,North,37,Standard,55.04,9,9,2-Year,Bank Transfer,0,1,1,21.0,3946.18,1,2055.39,0
C0190,Other,36,North,63,Enterprise,55.24,1,5,Month-to-Month,Debit Card,1,0,1,17.0,,0,3499.15,0
C0191,Male,27,East,17,Basic,56.71,1,2,Month-to-Month,Credit Card,0,0,1,19.0,3020.7,3,974.83,0
C0192,Female,25,East,72,Premium,72.2,8,14,1-Year,PayPal,0,0,1,10.0,2357.73,1,5240.03,0
C0193,Male,40,Central,17,Enterprise,111.04,3,5,1-Year,Credit Card,1,0,0,7.0,2607.59,3,1879.36,1
C0194,Female,71,South,72,Premium,97.74,6,10,2-Year,Credit Card,1,1,0,19.0,837.29,2,7054.74,0
C0195,Male,45,West,6,Enterprise,40.01,0,11,1-Year,PayPal,1,1,0,20.0,2263.67,0,272.51,0
C0196,Other,73,South,23,Standard,37.47,3,2,1-Year,Credit Card,1,0,0,16.0,1247.26,2,900.41,0
C0197,Female,45,North,60,Basic,59.57,5,0,1-Year,Credit Card,0,1,1,19.0,593.26,3,3539.98,0
C0198,Female,56,North,18,Standard,78.3,2,12,1-Year,Debit Card,0,0,1,24.0,3697.34,3,1440.52,0
C0199,Female,74,South,22,Standard,33.64,2,10,Month-to-Month,Credit Card,0,0,1,21.0,1532.32,3,701.5,0
C0200,Male,80,South,23,Enterprise,44.84,2,2,Month-to-Month,PayPal,0,1,1,17.0,1623.0,3,985.23,0
C0201,Other,68,East,62,Standard,112.13,2,2,1-Year,Bank Transfer,1,0,0,1.0,2116.15,2,6934.61,0
C0202,Other,80,North,58,Enterprise,76.4,8,11,1-Year,Credit Card,0,1,1,13.0,472.28,2,4382.11,0
C0203,Male,72,West,49,Standard,37.64,9,14,1-Year,Debit Card,0,0,0,21.0,4558.39,3,1866.34,0
C0204,Other,65,Central,53,Basic,50.56,6,3,2-Year,Credit Card,1,1,1,3.0,3526.92,2,2685.25,0
C0205,Other,58,Central,10,Enterprise,113.82,9,6,1-Year,Debit Card,0,0,0,0,4138.27,3,1118.4,1
C0206,Other,53,South,36,Premium,31.91,1,14,Month-to-Month,Debit Card,0,1,1,18.0,4457.28,1,1181.8,0
C0207,Other,57,North,7,Standard,92.4,0,7,2-Year,PayPal,0,1,1,17.0,4918.53,1,625.97,0
C0208,Female,32,East,47,Basic,75.41,9,5,2-Year,PayPal,0,1,0,3.0,4386.01,2,3523.04,1
C0209,Female,22,Central,40,Enterprise,61.86,5,11,Month-to-Month,Credit Card,0,0,0,11.0,3597.99,4,2520.79,1
C0210,Female,25,East,57,Enterprise,72.4,2,11,2-Year,Credit Card,0,1,0,19.0,3890.32,4,4119.36,0
C0211,Male,31,South,64,Basic,75.04,2,2,Month-to-Month,Debit Card,1,1,0,6.0,1294.7,0,4813.27,0
C0212,Male,62,West,26,Basic,103.05,8,1,2-Year,Bank Transfer,1,1,1,22.0,2764.95,0,2722.11,0
C0213,Male,68,North,32,Enterprise,103.31,3,14,Month-to-Month,Credit Card,0,1,1,0,1898.45,3,3294.31,1
C0214,Male,62,Central,3,Premium,56.02,4,4,Month-to-Month,Debit Card,1,0,0,12.0,1962.08,1,131.22,1
C0215,Female,60,South,9,Enterprise,32.78,4,1,Month-to-Month,Bank Transfer,1,1,0,8.0,1809.93,2,318.56,1
C0216,Other,77,South,6,Standard,114.46,2,5,2-Year,PayPal,1,0,1,17.0,2327.31,2,695.56,0
C0217,Male,34,North,25,Standard,85.07,6,12,2-Year,Credit Card,1,1,0,17.0,3224.72,1,2136.5,1
C0218,Male,23,North,22,Standard,45.88,9,8,1-Year,Debit Card,0,1,0,9.0,,4,1031.77,0
C0219,Male,33,North,59,Basic,21.61,8,14,1-Year,Bank Transfer,0,0,1,12.0,832.42,4,1317.0,0
C0220,Male,48,West,60,Enterprise,75.65,5,7,Month-to-Month,Credit Card,0,1,1,22.0,4161.45,3,4496.92,1
C0221,Female,40,Central,13,Enterprise,104.87,4,14,1-Year,Credit Card,0,0,0,0,668.66,1,1356.57,1
C0222,Other,79,South,31,Standard,44.6,1,14,1-Year,PayPal,0,1,0,3.0,275.24,1,1384.47,0
C0223,Female,50,North,9,Basic,60.53,2,5,1-Year,Credit Card,0,0,0,13.0,803.13,2,513.07,0
C0224,Other,40,East,51,Basic,22.71,8,3,2-Year,Debit Card,1,0,0,22.0,3578.81,4,1126.09,0
