house_id,location,area_sqft,num_bedrooms,num_bathrooms,garage,year_built,lot_size_sqft,num_floors,has_basement,has_pool,house_style,exterior_material,condition_rating,proximity_to_city_center_km,school_quality_rating,crime_rate_per_1000,price
ID_45,Los Angeles,3768,4,4,0,2021,13806,3,0,1.0,Modern,Wood,3,41.4,1,5.22,969210
ID_46,San Diego,4708,2,4,0,1901,15253,3,0,0,Colonial,Wood,1,42.52,10,8.16,988372
ID_47,New York,4588,3,2,1,1922,1759,1,1,0,Modern,Wood,3,38.2,4,3.24,939441
ID_48,Dallas,2055,3,2,0,1931,7335,2,0,1.0,Colonial,Vinyl,4,15.55,1,3.79,602324
ID_49,Los Angeles,4880,6,1,0,1920,4240,3,0,,Contemporary,Brick,3,15.17,10,0.38,1086012
ID_50,San Antonio,3512,4,2,1,2009,5078,3,0,0,Modern,Stucco,8,21.4,9,0.95,1047730
ID_51,San Diego,3549,1,2,1,2018,12728,3,1,1.0,Modern,Vinyl,5,48.86,7,4.55,1020408
ID_52,Chicago,1040,1,5,1,1920,2997,3,1,0,Traditional,Brick,3,41.82,2,0.43,395040
ID_53,San Antonio,2237,6,5,1,2015,5037,2,1,1.0,Traditional,Vinyl,4,8.44,8,2.29,966074
ID_54,San Jose,2506,5,2,0,2019,4388,2,0,1.0,Colonial,Stucco,8,3.73,10,0.1,902632
ID_55,Phoenix,4751,4,1,1,1903,14025,1,1,1.0,Contemporary,Wood,1,16.14,6,3.07,1096206
ID_56,Houston,1042,5,4,1,1948,16321,3,1,1.0,Contemporary,Brick,10,45.26,9,0.59,718455
ID_57,Chicago,3043,5,1,0,1980,5741,2,0,0,Ranch,Vinyl,1,36.49,4,7.7,728609
ID_58,San Diego,4058,3,5,0,1969,15052,1,1,1.0,Modern,Vinyl,7,29.48,3,2.96,1034774
ID_59,San Jose,4643,1,1,1,1932,16821,2,0,1.0,Contemporary,Stucco,2,20.28,5,5.67,1025293
ID_60,San Jose,1289,1,2,1,1929,1168,3,1,0,Modern,Brick,2,9.47,8,1.53,538230
ID_61,Phoenix,3197,5,5,0,1969,8322,1,0,0,Contemporary,Vinyl,1,11.68,3,5.16,877080
ID_62,Los Angeles,2210,4,3,0,1983,14834,3,1,1.0,Traditional,Wood,5,10.1,7,6.31,865826
ID_63,Phoenix,2929,2,5,0,1910,8787,3,0,0,Colonial,Vinyl,3,15.55,6,4.04,774376
ID_64,Phoenix,3693,5,1,1,1971,9389,2,0,1.0,Traditional,Stucco,3,38.58,7,0.84,1001370
ID_65,San Diego,2030,2,4,0,2003,2370,3,0,0,Ranch,,6,15.1,6,2.94,721561
ID_66,Houston,2123,3,1,1,1908,10995,2,1,1.0,Traditional,Wood,4,29.43,4,3.99,658251
ID_67,San Diego,4920,6,2,0,2008,8027,2,0,0,Traditional,Brick,8,46.13,4,8.26,1104522
ID_68,Philadelphia,857,2,3,0,1971,7900,1,0,0,Modern,Brick,7,48.47,9,5.55,404126
ID_69,Dallas,2757,1,4,0,2000,1333,3,1,1.0,Colonial,Wood,9,14.21,6,2.67,866180
ID_70,Chicago,1381,3,5,1,1909,11183,3,0,1.0,Traditional,Stucco,9,47.54,7,9.38,545604
ID_71,Chicago,2679,2,5,1,1951,11326,2,0,1.0,Traditional,Vinyl,4,36.71,3,4.1,752647
ID_72,San Jose,4008,2,4,1,1965,13958,2,1,0,Ranch,Vinyl,7,42.66,10,1.26,1054835
ID_73,Houston,2488,6,3,1,1965,7067,1,1,1.0,Colonial,Stucco,2,10.65,5,8.69,823350
ID_74,Dallas,2774,1,1,0,1984,10577,1,0,1.0,Traditional,Stucco,1,19.65,7,3.38,764032
ID_75,San Diego,1999,5,3,0,2014,1830,1,0,1.0,Traditional,Wood,7,22.09,9,1.39,765637
ID_76,Phoenix,4636,1,5,0,1951,2699,2,1,1.0,Colonial,Vinyl,2,9.66,9,0.14,1141875
ID_77,New York,4274,3,5,1,1986,11447,3,0,0,Colonial,Stucco,7,14.24,6,0.71,1157281
ID_78,Philadelphia,1833,4,5,1,1940,10545,1,1,1.0,Contemporary,Vinyl,10,35.54,3,4.38,669743
ID_79,Philadelphia,1767,1,3,1,1989,1263,2,0,0,Contemporary,Wood,1,34.45,3,8.19,469283
ID_80,Philadelphia,2727,1,4,0,1987,14385,1,0,0,Contemporary,Stucco,8,4.7,7,0.49,879719
ID_81,Houston,2402,4,1,1,1967,11370,3,1,0,Traditional,Stucco,10,20.13,4,8.37,751740
ID_82,Philadelphia,3682,2,1,0,2010,19775,3,0,1.0,Modern,Brick,2,42.99,7,7.39,967974
ID_83,Philadelphia,4783,2,1,1,1975,14720,1,0,0,Ranch,Wood,7,28.52,8,9.59,1043100
ID_84,Houston,4777,6,4,1,1920,5730,3,1,0,Ranch,Stucco,8,49.48,2,6.22,1032122
ID_85,Philadelphia,3904,1,3,0,1953,2729,3,0,0,Traditional,Wood,6,35.87,6,1.93,855281
ID_86,Dallas,2223,6,2,1,2013,19778,1,1,0,Traditional,Vinyl,4,19.41,1,3.54,840042
ID_87,Houston,2567,6,1,0,1938,1250,3,1,0,Colonial,Vinyl,9,46.07,10,1.17,771636
ID_88,Los Angeles,3045,6,2,0,1932,17625,3,1,0,Contemporary,Stucco,1,8.69,7,9.15,883060
ID_89,San Antonio,4134,2,4,1,2015,17796,3,1,1.0,Traditional,Vinyl,8,37.25,1,1.83,1142860
ID_90,San Jose,4957,3,2,0,2020,2656,2,1,1.0,Ranch,Stucco,10,26.32,5,9.01,1179724
ID_91,San Jose,2761,2,5,0,2005,15679,2,0,1.0,Colonial,Brick,3,11.04,2,5.28,844922
ID_92,Phoenix,4339,2,3,0,1924,16951,1,0,0,Traditional,Brick,5,19.38,3,2.41,978241
ID_93,San Antonio,1035,1,5,0,1916,2737,1,1,1.0,Traditional,Stucco,10,17.77,10,2.3,561436
ID_94,Phoenix,2013,1,3,0,2008,17633,3,0,1.0,Contemporary,Vinyl,3,10.24,8,8.84,747364
ID_95,Chicago,1630,6,2,1,1913,10842,3,1,1.0,Traditional,Stucco,10,21.58,6,5.53,714819
ID_96,Houston,4133,5,1,0,2008,18436,3,1,1.0,Traditional,Vinyl,9,48.73,4,3.32,1088159
ID_97,Los Angeles,1117,6,3,1,2008,11293,1,0,0,Contemporary,Brick,2,12.39,5,4.97,648544
ID_98,Philadelphia,1863,1,2,0,1958,7675,3,1,1.0,Traditional,Stucco,4,30.12,1,5.69,547545
ID_99,San Jose,1898,5,4,0,1937,9481,3,0,0,Contemporary,Stucco,8,11.02,2,9.62,656273
ID_100,San Jose,1934,1,4,1,2022,7785,1,0,0,Colonial,Brick,2,16.47,9,8.91,726733
ID_101,Los Angeles,3113,2,2,1,1947,12543,2,0,0,Colonial,Vinyl,10,42.56,10,2.48,813462
ID_102,San Antonio,3320,1,2,1,1978,10750,2,1,0,Contemporary,Wood,7,31.53,4,6.17,814959
ID_103,San Jose,2091,1,4,1,1946,8203,3,0,0,Contemporary,Brick,4,26.22,6,2.59,581576
ID_104,Los Angeles,1576,2,2,1,1958,8790,1,0,0,Traditional,Brick,10,4.25,4,5.21,592197
ID_105,Houston,4494,4,1,1,1977,5404,3,0,1.0,Modern,Vinyl,5,32.8,9,5.56,1134493
ID_106,Philadelphia,2164,3,4,1,1907,15830,1,0,,Ranch,Vinyl,6,11.21,4,9.06,677510
ID_107,Phoenix,931,3,2,1,1916,7310,2,0,0,Colonial,Brick,2,20.09,10,3.46,448643
ID_108,Philadelphia,1308,5,2,1,2013,15881,1,0,1.0,Modern,Vinyl,1,47.82,5,7.55,648989
ID_109,San Antonio,1636,3,4,1,1925,16557,2,1,0,Traditional,Brick,10,26.74,4,7.05,674581
ID_110,Dallas,1107,4,4,1,1933,7190,3,0,1.0,Contemporary,Vinyl,10,5.7,7,3.97,676248
ID_111,Houston,804,1,1,0,1976,12817,3,0,,Contemporary,Brick,2,19.68,10,3.08,477566
ID_112,New York,4116,6,1,0,1951,1584,3,1,0,Contemporary,Stucco,4,13.07,1,9.33,939234
ID_113,Dallas,3290,2,4,1,1977,6439,3,1,0,Colonial,Stucco,4,21.54,8,6.66,918255
ID_114,Chicago,1266,1,4,1,1992,12219,3,0,0,Colonial,Wood,10,35.51,5,2.05,614914
ID_115,San Jose,4639,3,2,0,1928,4494,1,1,0,Traditional,Stucco,3,13.41,7,7.19,1008114
ID_116,Los Angeles,2068,6,5,1,2015,2654,1,0,0,Modern,Vinyl,1,3.58,8,2.66,791759
ID_117,San Jose,3724,1,1,1,1965,1058,3,1,0,Traditional,Stucco,10,39.12,7,2.43,889633
ID_118,Chicago,1221,4,4,1,1920,11438,1,0,0,Colonial,Vinyl,9,34.38,3,4.27,505373
ID_119,Phoenix,4302,5,5,1,1983,8956,1,1,0,Contemporary,Vinyl,6,23.11,5,7.15,1142715
ID_120,Phoenix,1019,1,2,1,1971,9254,3,1,0,Traditional,Vinyl,1,3.05,1,1.42,503955
ID_121,Chicago,4021,5,4,0,1952,13382,3,0,0,Colonial,Stucco,8,26.4,4,4.6,1002075
ID_122,San Antonio,1518,1,2,1,1901,17639,2,1,1.0,Traditional,Brick,10,33.73,3,2.09,583786
ID_123,San Jose,4074,3,1,1,1997,12223,3,0,1.0,Contemporary,Wood,4,2.06,8,0.8,1140838
ID_124,New York,3119,5,4,0,1927,3410,3,1,1.0,Contemporary,Vinyl,5,22.36,9,7.4,876309
ID_125,Houston,4055,4,3,0,1948,4297,1,1,0,Contemporary,Brick,1,16.92,8,5.67,941947
ID_126,Houston,3202,2,2,1,1968,1641,2,0,1.0,Colonial,Vinyl,7,49.54,5,8.17,745264
ID_127,Phoenix,4857,6,4,1,1959,11651,3,1,1.0,Contemporary,Vinyl,1,33.51,1,0.22,1208490
ID_128,San Diego,4326,4,4,1,1960,10217,1,0,1.0,Colonial,Wood,8,16.73,9,7.12,1152379
ID_129,Phoenix,4138,3,5,0,2019,14032,3,1,1.0,Modern,Vinyl,2,15.58,5,5.51,1109645
ID_130,Los Angeles,4746,3,1,1,1906,16946,1,1,0,Ranch,Vinyl,9,23.37,9,5.66,1087883
ID_131,Los Angeles,2545,3,2,0,2005,12610,2,1,0,Contemporary,Stucco,10,34.63,3,1.49,801537
ID_132,Phoenix,4527,2,4,1,1999,18322,1,0,0,Ranch,Brick,5,41.21,10,2.1,1121879
ID_133,Philadelphia,1429,1,4,1,1908,11335,2,1,1.0,Traditional,Brick,9,31.2,4,8.81,554847
ID_134,Philadelphia,3316,3,2,1,1955,9773,1,0,0,Modern,Vinyl,9,26.89,7,7.71,852056
ID_135,San Diego,3580,1,4,0,1986,14719,3,1,1.0,Colonial,Stucco,9,27.79,6,6.14,989933
ID_136,Los Angeles,3411,2,5,0,1932,2398,3,0,0,Traditional,Brick,6,8.83,6,1.51,898319
ID_137,Dallas,1578,5,2,1,1924,13400,3,0,1.0,Contemporary,Brick,7,39.58,6,3.97,599494
ID_138,Houston,2402,4,3,0,1971,13990,3,1,,Ranch,Stucco,5,28.99,5,5.67,800863
ID_139,Phoenix,3739,2,3,1,2007,18447,2,1,0,Colonial,Vinyl,9,33.24,1,5.04,991575
ID_140,Dallas,3465,3,1,1,1969,6572,2,0,0,Modern,Wood,9,36.82,2,9.54,823050
ID_141,Los Angeles,1806,2,2,1,1967,9362,2,1,1.0,Traditional,Wood,1,14.65,10,0.73,719453
ID_142,Chicago,3651,2,5,0,1924,11678,2,1,1.0,Contemporary,Wood,9,34.39,1,0.29,930829
ID_143,Dallas,2872,4,3,1,1941,13870,2,1,0,Traditional,Vinyl,1,38.15,3,5.46,755727
ID_144,New York,3569,1,4,1,1963,10612,2,1,0,Modern,Stucco,4,30.94,7,8.68,904404
ID_145,New York,1568,2,4,0,1939,7726,3,0,0,Ranch,Brick,8,9.96,3,5.21,543833
ID_146,Phoenix,3182,1,4,0,1922,19115,1,0,0,Ranch,Stucco,9,18.12,1,8.91,784171
ID_147,Philadelphia,4927,4,5,0,1943,4672,2,1,1.0,Contemporary,Vinyl,1,36.11,1,8.42,1064459
ID_148,Houston,4089,5,3,1,1939,18270,2,1,1.0,Traditional,Wood,1,34.04,1,1.6,1059506
ID_149,San Antonio,1848,5,4,0,1966,1917,2,0,0,Traditional,Stucco,2,11.17,10,2.3,678201
ID_150,Chicago,2446,2,5,0,1905,8717,1,1,1.0,Modern,Vinyl,5,12.17,6,2.32,762441
ID_151,Dallas,1647,1,4,0,2011,15913,1,0,1.0,Colonial,Brick,10,44.79,10,1.85,758874
ID_152,Los Angeles,4931,4,4,1,1989,2738,2,0,1.0,Traditional,Stucco,9,36.09,8,5.54,1202777
ID_153,San Jose,856,2,5,1,1970,13707,1,0,1.0,Colonial,Wood,1,46.93,9,5.96,575219
ID_154,New York,2078,2,1,0,2003,1584,3,0,0,Contemporary,Stucco,10,49.41,3,3.1,528417
ID_155,New York,1789,3,3,0,1934,11569,2,1,,Colonial,Stucco,2,16.95,9,0.66,654445
ID_156,Dallas,4142,3,4,1,1900,2776,2,1,0,Traditional,Wood,6,1.45,4,8.62,929339
ID_157,Philadelphia,2447,4,2,1,1915,5064,2,1,1.0,Traditional,Stucco,7,10.74,3,3.78,771190
ID_158,Philadelphia,3138,5,2,1,1917,7106,3,0,1.0,Modern,Vinyl,7,20.92,5,2.22,919565
ID_159,Los Angeles,4187,3,5,1,1924,2017,1,0,0,Traditional,Stucco,4,37.1,6,2.59,923465
ID_160,Dallas,4296,6,1,0,1963,17628,1,0,0,Contemporary,Wood,2,40.24,9,7.67,1064477
ID_161,San Diego,4140,4,3,1,1969,4708,3,0,0,Colonial,Brick,4,47.47,2,1.54,950351
ID_162,Dallas,1384,6,5,1,2006,17399,2,1,0,Contemporary,Vinyl,10,3.58,8,4.37,882068
ID_163,Houston,2557,1,5,1,1972,7401,3,0,0,Contemporary,Stucco,2,46.19,9,5.59,694644
ID_164,San Antonio,1821,4,4,1,1977,3143,1,1,0,Traditional,Brick,10,9.04,5,8.64,664259
ID_165,Dallas,4739,3,4,1,2010,1132,2,1,0,Modern,Vinyl,5,23.67,8,4.94,1139795
ID_166,New York,3760,3,1,1,1932,7729,1,0,,Contemporary,Stucco,4,44.08,10,2.19,880395
ID_167,Philadelphia,2931,2,5,1,2009,10471,3,1,0,Traditional,Brick,5,1.66,3,4.88,941125
ID_168,Chicago,4387,3,3,1,1962,5100,1,1,0,Traditional,Wood,5,34.71,8,9.64,1012400
ID_169,San Antonio,1203,5,1,1,2010,1481,3,0,1.0,Ranch,Stucco,3,38.87,2,5.49,560357
ID_170,Los Angeles,3861,1,1,1,2007,18089,1,1,1.0,Traditional,Stucco,7,1.86,10,3.7,1091107
ID_171,New York,3679,2,5,1,2011,6162,1,0,0,Contemporary,Wood,1,17.6,8,0.47,976499
ID_172,Chicago,1848,1,3,0,1925,13732,1,0,1.0,Modern,Stucco,4,9.45,4,3.77,656388
ID_173,New York,2090,3,1,0,1934,1352,1,0,1.0,Contemporary,Vinyl,2,12.87,9,9.02,635784
ID_174,Dallas,1777,1,1,0,1986,7310,2,0,1.0,Traditional,Brick,5,24.4,10,3.97,631057
ID_175,Houston,3413,1,2,1,1961,12472,3,1,1.0,Traditional,Brick,1,49.4,4,5.84,839082
ID_176,Los Angeles,874,1,5,1,2011,14594,2,1,0,Ranch,Stucco,10,19.22,4,2.19,636061
ID_177,San Jose,1944,2,3,0,1926,7386,3,1,1.0,Contemporary,Stucco,3,17.71,1,3.29,615515
ID_178,Houston,4682,6,4,1,1927,18943,2,1,1.0,Traditional,,6,45.19,1,5.47,1127370
ID_179,Houston,3020,5,5,0,1971,6035,1,1,0,Traditional,Wood,3,39.32,8,1.33,839074
ID_180,San Diego,4297,4,3,0,1940,16643,1,1,1.0,Colonial,Vinyl,1,31.86,4,9.48,988493
ID_181,Philadelphia,3875,3,4,1,1913,19466,1,1,0,Contemporary,Vinyl,2,19.35,6,8.66,928090
ID_182,Philadelphia,3863,6,3,0,1952,18259,3,1,0,Traditional,Vinyl,6,46.6,8,5.84,1012499
ID_183,San Diego,4405,2,5,1,1902,1013,1,1,1.0,Contemporary,Wood,7,39.1,3,6.89,951654
ID_184,New York,2279,3,5,1,1922,13644,3,1,1.0,Traditional,Vinyl,9,9.71,10,4.26,878093
ID_185,Philadelphia,1884,1,3,0,1911,14268,3,1,1.0,Traditional,Stucco,6,8.9,1,0.11,657473
ID_186,Los Angeles,2114,1,4,0,1955,19096,2,0,0,Contemporary,Vinyl,2,21.73,4,0.9,669616
ID_187,San Diego,2583,1,4,1,2021,8286,3,1,1.0,Modern,Vinyl,5,11.68,6,1.7,894486
ID_188,Los Angeles,3940,1,5,1,1956,7320,3,0,1.0,Contemporary,Vinyl,1,6.11,5,6.08,992669
ID_189,Los Angeles,1166,3,2,1,2007,15417,2,0,0,Ranch,Brick,6,41.16,6,6.42,544986
ID_190,Phoenix,1114,6,1,0,1945,12421,2,0,1.0,Modern,Vinyl,8,46.1,8,1.33,586676
ID_191,New York,4461,1,3,1,1962,13584,2,0,1.0,Colonial,Brick,4,7.57,3,7.01,1026873
ID_192,Chicago,4695,1,3,0,1998,2796,1,1,1.0,Modern,Stucco,4,32.53,9,5.16,1109916
ID_193,Los Angeles,2725,4,4,1,1953,17999,1,0,1.0,Traditional,Wood,8,1.7,10,5.0,1014573
ID_194,Philadelphia,2461,2,1,1,2013,5205,2,1,0,Traditional,Stucco,4,34.62,9,1.9,774906
ID_195,Houston,3159,5,1,0,1956,7017,1,0,1.0,Colonial,Brick,7,38.88,2,8.76,774434
ID_196,Phoenix,3357,1,4,1,1990,19209,2,0,0,Ranch,Wood,10,33.58,3,8.4,866892
ID_197,San Antonio,2018,3,3,1,1910,2395,1,0,1.0,Colonial,Stucco,9,9.29,6,6.9,656633
ID_198,San Jose,2681,5,4,1,1965,15499,2,1,0,Modern,Wood,5,44.93,1,0.9,816133
ID_199,Philadelphia,1399,2,4,0,1912,7118,1,1,0,Traditional,Brick,1,40.15,8,2.89,444397
ID_200,San Diego,2947,1,3,0,1907,15069,3,1,1.0,Ranch,Stucco,7,38.48,3,1.36,794369
ID_201,San Jose,4994,5,1,1,1917,3628,2,1,1.0,Ranch,Brick,2,43.37,4,1.68,1089824
ID_202,Dallas,3497,2,1,1,1924,7892,2,1,1.0,Contemporary,Brick,8,13.14,5,6.29,870136
ID_203,Dallas,931,6,5,1,2019,17985,1,1,0,Ranch,Vinyl,4,9.52,9,7.33,787753
ID_204,Houston,808,1,5,0,1963,2974,1,1,1.0,Colonial,Brick,4,41.21,5,0.24,419590
ID_205,San Diego,4941,2,1,1,1982,15023,2,1,0,Modern,Vinyl,6,30.17,1,6.37,1060259
ID_206,Dallas,4101,5,1,1,1918,17858,2,0,0,Contemporary,Brick,5,40.16,3,2.88,930348
ID_207,Los Angeles,3633,3,4,0,1982,15112,1,0,0,Contemporary,Brick,4,40.24,9,0.95,980255
ID_208,New York,2780,5,5,1,1907,14524,2,0,0,Colonial,Wood,10,24.67,4,1.89,866926
ID_209,Los Angeles,2005,4,3,0,1976,17103,2,0,1.0,Ranch,Vinyl,4,6.42,7,3.19,772018
ID_210,San Antonio,3460,1,3,1,2009,16220,2,1,0,Modern,Wood,5,31.02,6,7.14,952633
ID_211,San Jose,3434,5,3,1,1952,7630,3,1,1.0,Ranch,Wood,3,30.97,3,3.06,931230
ID_212,Los Angeles,4589,1,3,0,1935,9697,1,1,0,Colonial,Vinyl,7,21.1,1,0.53,957252
ID_213,Chicago,4834,6,2,0,1901,18998,2,1,1.0,Traditional,Vinyl,3,40.64,7,9.28,1055412
ID_214,New York,2907,5,5,0,1955,1241,3,1,1.0,Colonial,Stucco,9,13.24,7,6.74,961859
ID_215,San Jose,971,3,5,1,1965,14130,1,1,0,Colonial,Stucco,6,46.79,6,7.67,554320
ID_216,Chicago,3343,2,5,1,1942,15412,1,1,1.0,Colonial,,6,21.93,3,8.58,930653
ID_217,Phoenix,4895,6,4,0,1912,11123,3,1,1.0,Ranch,Vinyl,4,24.96,9,0.4,1271943
ID_218,San Diego,4096,3,4,1,2011,13523,2,0,1.0,Contemporary,Brick,10,46.53,5,0.16,1106360
ID_219,Philadelphia,4717,2,1,0,1915,11013,3,1,1.0,Ranch,Brick,10,40.2,2,7.71,1007218
ID_220,San Antonio,4696,5,4,0,1975,19904,1,0,1.0,Ranch,Wood,3,20.94,5,2.4,1215331
ID_221,San Diego,2328,5,3,0,1906,10031,3,0,1.0,Traditional,Brick,4,3.62,8,3.19,776161
ID_222,Houston,3662,3,3,1,1904,13197,2,1,0,Traditional,Wood,4,39.29,7,9.79,882635
ID_223,Philadelphia,1503,6,1,1,1937,11265,2,0,0,Modern,Brick,3,13.73,4,2.76,600309
ID_224,Chicago,3046,6,5,0,1950,2496,2,0,0,Traditional,Brick,1,44.32,2,4.7,749329
ID_225,Chicago,2837,5,4,0,1976,17675,2,1,0,Traditional,Vinyl,5,14.34,8,2.26,937097
ID_226,San Antonio,4689,3,5,1,1939,13388,2,1,1.0,Contemporary,Brick,10,23.61,7,7.34,1199818
ID_227,Houston,3552,4,2,1,1921,4068,3,1,0,Traditional,Stucco,6,34.97,4,8.28,838771
ID_228,Dallas,2673,2,1,0,1968,13671,3,0,1.0,Contemporary,Stucco,5,42.5,2,8.5,675430
ID_229,Phoenix,4591,2,4,1,2017,10479,3,1,0,Colonial,Brick,10,13.02,9,2.18,1235036
ID_230,Philadelphia,2042,2,5,0,1959,18007,1,0,,Colonial,,2,23.49,2,0.22,630501
ID_231,San Antonio,1927,4,1,0,2002,19651,1,0,0,Modern,,5,4.79,4,9.48,692202
ID_232,New York,3410,1,4,1,1959,9700,3,1,0,Ranch,Vinyl,2,11.07,3,9.91,878631
ID_233,Chicago,3430,2,2,1,2022,16985,1,1,0,Traditional,Stucco,9,14.84,3,5.33,962268
ID_234,San Antonio,3357,5,1,0,1980,17868,1,1,0,Ranch,Brick,3,25.93,8,1.92,981095
ID_235,Philadelphia,1738,2,4,0,1928,14803,3,1,1.0,Modern,Stucco,6,21.98,6,8.92,625535
ID_236,Los Angeles,4158,2,5,0,1923,3790,1,1,1.0,Colonial,Vinyl,8,15.75,6,0.71,995316
ID_237,San Antonio,2594,5,2,1,2016,10602,3,0,1.0,Colonial,Brick,6,38.35,10,5.27,923068
ID_238,Dallas,4134,3,3,1,1955,13526,1,0,1.0,Colonial,Brick,1,7.91,5,3.79,1022686
ID_239,Phoenix,4677,5,3,0,1925,1233,2,1,1.0,Contemporary,Wood,6,8.26,3,4.04,1053271
